Plot,Species5,Species
288,Sornu,Sorghastrum nutans
289,Amoca,Amorpha canescens
289,Lesca,Lespedeza capitata
289,Luppe,Lupinus perennis
289,Petpu,Petalostemum purpureum
290,Monfi,Monarda fistulosa
290,Solri,Solidago rigida
291,Petpu,Petalostemum purpureum
292,Andge,Andropogon gerardi
292,Elyca,Elymus canadensis
292,Koecr,Koeleria cristata
292,Lesca,Lespedeza capitata
292,Luppe,Lupinus perennis
292,Petca,Petalostemum candidum
292,Petvi,Petalostemum villosum
292,Poapr,Poa pratensis
292,Sornu,Sorghastrum nutans
293,Andge,Andropogon gerardi
293,Asctu,Asclepias tuberosa
293,Lesca,Lespedeza capitata
293,Luppe,Lupinus perennis
293,Petpu,Petalostemum purpureum
293,Queel,Quercus ellipsoidalis
293,Quema,Quercus macrocarpa
293,Schsc,Schizachyrium scoparium
294,Achmi,Achillea millefolium(lanulosa)
294,Agrsm,Agropyron smithii
294,Amoca,Amorpha canescens
294,Andge,Andropogon gerardi
294,Asctu,Asclepias tuberosa
294,Baple,Baptisia leucantha
294,Boucu,Bouteloua curtipendula
294,Bougr,Bouteloua gracilis
294,Bucda,Buchloe dactyloides
294,Calca,Calamagrostis canadensis
294,Corpa,Coreopsis palmata
294,Elyca,Elymus canadensis
294,Koecr,Koeleria cristata
294,Leeor,Leersia oryzoides
294,Lesca,Lespedeza capitata
294,Liaas,Liatris aspera
294,Luppe,Lupinus perennis
294,Monfi,Monarda fistulosa
294,Panvi,Panicum virgatum
294,Petca,Petalostemum candidum
294,Petpu,Petalostemum purpureum
294,Petvi,Petalostemum villosum
294,Poapr,Poa pratensis
294,Queel,Quercus ellipsoidalis
294,Quema,Quercus macrocarpa
294,Rudse,Rudbeckia serotina
294,Schsc,Schizachyrium scoparium
294,Solne,Solidago nemoralis
294,Solri,Solidago rigida
294,Sornu,Sorghastrum nutans
294,Spocr,Sporobolus cryptandrus
294,Stisp,Stipa spartea
294,Vicvi,Vicia villosa
294,Zizau,Zizia aurea
295,Achmi,Achillea millefolium(lanulosa)
